-0:58	marianne van tienen	しおしおっ！
1:48	ヤス	最近忙しそうだったもんね、お大事ね
1:49	麻雀ビギナーしょーしょん	10萬人&11萬人おめでとうございます！これからも応援してますー！	￥1,000
1:49	しゃんぷー狐		￥200
1:50	明智光秀	お大事になさってください。
1:50	エリクシル	風邪?
1:50	とな関	１１万人おめでとうございます	￥500
1:51	どんぐり1986	単純な奴であるなら、ただ御無理はなさらず
1:51	ザッハトルテ。	改めて10万人おめでとうございます！	￥200
1:51	コタケリョウ	生活リズムかねえ
1:51	KA A	はーい お大事に
1:52	k misawa	単純な何w
1:52	LOG	クーラーにやられちゃった感じかな
1:52	モジャンヌ	今日も大丈夫か？？
1:53	ねこみらーじゅ	しなないで
1:53	刺身と山葵	無理せずに
1:53	オロロン	お大事に
1:53	なんたらかんたら公太郎EX	雑談だけでもいいけど、ただただ喉は大事に！	￥200
1:53	のいん	大会の緊張もあったしね
1:53	sakura mituki	風邪っぽかったもんね
1:53	ハラタカ	大丈夫？ムリしないでね
1:54	雨宮恵	お大事にね
1:54	カンザキシン	お大事にね
1:54	アルゴノゥトチームGospel	喉ノールスプレーシュッシュ
1:54	田中ふ歳	単純ななんだよｗ
1:54	すしゅ	寝不足やん…
1:54	ういろうおにぎり	気温の上下が激しいよね最近
1:55	日神巫言	遅刻しました
1:55	ノカゼ	お大事にね
1:55	蒼。[あおっち]	お大事に
1:55	peaceman1984	もっと無理しな
1:55	パイライトテディ	喉は大事にしてね；；
1:56	なじー	エアコンつけて寝てたとか？
1:56	leno nowhere	こんばんはー🌸
1:56	シヴァ村卯月	単純な何なんだ
1:57	氷水	ほどほどにしときなね
1:57	セラフィーウェア	お大事に
1:58	ゆういち	龍角散オススメ
1:58	ゆう	おだいじにー
1:58	やっさん	ゆっくりやってつかぁさい
1:58	TAmmy	無理しないでね
1:59	りんほん	無理しなくてもいいんだよ
1:59	pldra プレドラ	無理せず、今日も短めでいいんやで
1:59	いざよいさくや	カラカラカラ
1:59	メイダイン	氷ASMR!?
1:59	りんご田べる	お大事にです～
2:00	右目のLapis	休むのも大事よ
2:00	ことかげ	いい音
2:00	しゃしゃ	お休みしよう？セキ不安
2:00	Nights -O	やさいせいかつ
2:00	霧雨	お大事に
2:00	ひっきー	氷の音良いな…
2:00	ムラ	健康的なものを飲んでますね
2:02	わんたん	夜更かししてるからだな
2:02	五十鈴	終わった後何時間寝たの？？
2:02	チイラ	土日いっぱい喋ってたしね…
2:02	CIBO	エアコンつけっぱで寝たな
2:03	TX11 D11	気温の変化激しいからね～
2:03	くろう	筆談で雑談する？
2:03	ゆういち	良く寝てね
2:04	姫ノ木あく	のど飴代	￥200
2:04	お前ら_	昨日もお鼻つまってたし、風邪気味？？
2:04	シャルル・ボネ	それなら雑談も止めたほうがええんちゃうか
2:05	CHA P [チャ ピー]	お大事に～
2:05	DA i	銀盾（11万人）おめでとうございます❗
2:05	Westeria	最近気温の高低差大きいから気をつけて
2:05	彩りの民	こんばんは～🌸
2:05	山本たろう	氷の音いいなぁ
2:05	麻雀ビギナーしょーしょん	おっなら単純にやすんでな
2:05	ゆもり	加湿器代	￥1,000
2:06	くぅくぅ	辛かったら早めに切り上げてね
2:07	孤高の探索者	お大事になさってください
2:07	はりはり	お大事にしてください	￥610
2:07	21	あららお大事に
2:07	メイダイン	野菜ジュースのロック？
2:07	嘘800	栞桜ちゃんが健康的な物を・・・！
2:07	図書館動かない	こんばんは
2:08	チーズ牛丼	疲れがたまってんのよ
2:08	F K	NN
2:08	カレーうどん	野菜ジュース、ロック
2:09	南国おあしす	こんばんは〜
2:09	ぱわーわーど	聞きながら筋トレしてるね
2:09	TMTあんばー	お大事にね
2:09	豆腐DMT	無理はしないでね…
2:10	!マイン	こんばんは〜
2:10	梶まーりん	氷の良い音〜
2:10	Mr.ニンドー	お大事に
2:11	響える	無理しないで～	￥252
2:11	N・A・O	しおしお～
2:11	ヨシムネ	のど飴代	￥200
2:11	琵琶丸	konnbannha-
2:11	りんご田べる	ご無理はなさらず
2:11	国士無双	今日はこのままお休みというのもありですよ。明日もありますし・・・	￥200
2:11	拡散の尖兵	お大事にね
2:11	グラコロ	早めに切り上げてもええんやで
2:11	焼音ニク	ただいま！
2:12	wanhoho ojisan	氷の音が良き
2:12	蓮	お大事に、のんびりやろ
2:12	si n	お大事に
2:12	すっち。	お大事に〜
2:12	ムラマツタカ	ポカリがいいですぞ
2:13	琵琶丸	sakura
2:13	Kudrjavka	やさいせいかつ
2:13	おおくそん	お大事にしてください
2:13	ことかげ	もっと自分を大事になさって
2:13	ねこみらーじゅ	このご時世じゃ心配
2:15	ぐぅたら	いや風邪やん
2:15	あよ	ともあれお大事に～
2:16	いざよいさくや	無理は禁物だ
2:16	あのんまのんver.II	風邪かぁお大事に
2:16	のくと	おやすみしてもよかったのに
2:16	四季綾ノ乃	お大事にね？
2:16	Maha raja	お大事に～
2:17	シューマイ,シャトルぱーそなる	健康第一だよ
2:17	あっちぃ	無理はしないで
2:18	やまP	無理しないでー
2:18	天城久秀	エアコン気を付けてください～～！！
2:18	友利匡志	無理すんな！
2:19	nanoeko[ホロライブ応援団員]	休んで治していいんだよ
2:20	せきれい	​お大事にね
2:20	クレイ。	最近怖いから気をつけてね…
2:20	琵琶丸	こんばんはー🌸
2:20	Nehalem	お腹出して寝るから・・・・
2:20	雨宮恵	お腹出して寝るから
2:20	Nights -O	お大事にね、ゆっくりやすめ〜
2:21	もるせら	こんばんは
2:21	にあ001	ずっと忙しかったからね
2:21	調律	無理はだめやぞ
2:21	由ゆう	はちみつ生姜湯飲もう
2:21	とーふ	疲労溜まってたんじゃない？
2:22	再生リスト	斎藤さん生誕祭の会場はこちらですか！！？
2:22	ゆういち	このご時世だし特にお気を付けて
2:22	チィヤ	喉痛いとかないの？
2:23	つくだ煮	お大事に
2:23	ひこたろ	頭くらくらするとか言ってたもんねえ
2:23	帰宅RTA	お大事に
2:23	グリヴェン	しっかり休んでよ？
2:23	めたるチクワ	お大事にー
2:24	サナ	しっかり体、休めるのよ
2:24	諦めちゃったけど諦められないれみちゃん446#NCB	風邪はもっとあかんやろ
2:24	デモア	それはむしろ休めwww
2:24	刺身と山葵	今日は休みましょう
2:25	おかしろ	わかる
2:25	ザッハトルテ。	お大事にしてください
2:25	とろろ	無理せず早く治して何も気にせず叫べるようになってください
2:25	メイダイン	本当に無理しないでね、忙しい分ね
2:25	お前ら_	ちゃんと寝てくださいね
2:26	ほしりん	今は寒暖差で風邪ひきやすいもんな
2:26	アルゴノゥトチームGospel	それなら今日はやめとこう
2:27	グレブナー基底	お大事にね
2:27	あぎだどら	コラボ続くみたいだしお大事にね
2:27	しれいかん	早く寝てね
2:27	Takebon	お大事にね
2:27	E. garland	お薬代です	￥500
2:28	mo's!	栄養とってね
2:28	Ruka in	最近忙しかったからねお大事に
2:28	なじー	気を付けてね
2:28	†すぱいらる†	無理せずにね～
2:28	琵琶丸	お身体お大事に
2:29	otaku bamboo_	無理は禁物だよ体にお気をつけて体壊す事程怖いもんはないからね
2:30	皇	つらいなら配信早めに終わってもええよ？
2:30	はるめたる	お大事に〜
2:30	妖精の灯り	健康第一に
2:30	leno nowhere	もーしおっさんハラ出して寝るからー
2:31	暁宵	お大事に	￥500
2:31	キミカン	早めに養生するのが大事でっせ
2:31	Ryo	明日以降も色々あるし無理はしないでね
2:31	Astral Clover	お大事にね
2:31	古鉄	こんばんは🌸
2:31	モジャンヌ	無理はしないで
2:31	sim	複雑なやつもあるん
2:32	辻百華	寒暖差激しいから気ぃつけてね(´・ω・｀)
2:32	パイライトテディ	はぁい
2:32	ransa ba	お大事に
2:33	西都なつ	ホントかなぁ
2:33	ReiJougasaki	大会も耐久も頑張ったもんね！！
2:33	嘘800	や さ い せ い か つ
2:33	rapid eye rabbit	おだいじに
2:33	ありにゃ	や
2:33	mo's!	お腹出して寝てた？
2:34	山本たろう	これから悪くなる可能性もあるから無理しないでね
2:34	六花[リッカ]	無理はしないでね。お大事に！	￥500
2:34	Yラシュタ	コロナもあるから気を付けて
2:35	シヴァ村卯月	さっさと寝て？
2:35	卵かけT	無理しないでー お大事に
2:35	いわはかたらま	ライブ初見です、しおちゃんのお陰で麻雀はじめたー！
2:36	松竹梅	龍角散を水に溶かして飲むと良いよ！飲みやすい！
2:36	ぼくもあなたも	こんばんは
2:36	どぞう	体調には気を付けて
2:36	shu my	こんばんはー
2:36	カリメロ	代わりにのど飴舐めとくわ
2:36	Yuki Aru	こんばんはー
2:36	shimo 636	大事にして
2:36	おおさか太郎	お初です。最近知ってハマりました。お大事に
2:36	カンザキシン	気候もあれだしね
2:37	司-つかさ-	お大事に
2:39	mezzoforte	風邪なら早めに休もうね
2:40	2002 Yukina_chan	お大事にやで～
2:40	black AYANE	コロナだけは気を付けてなぁ～(´；ω；｀)
2:41	お前ら_	体調管理できてえらい
2:42	きつねの	お大事にしてくださいね	￥500
2:42	親方仙人		￥1,000
2:43	「み」の字 / MINO-G	こんばんわ🌸
2:43	rapid eye rabbit	寒暖差がね
2:44	麻雀ビギナーしょーしょん	お？
2:45	ifg opsss	きょうは短めでも
2:45	氷水	歌った？
2:45	花吹雪	睡眠不足は免疫落ちるよ
2:47	由ゆう	酒か
2:47	五十鈴	最近天気の変動激しかったからねー
2:47	しゃの	クーラー？
2:47	七草猫	お大事にね
2:48	ミントステーキ	過労かな？
2:49	プリヤ氷一郎	ほうほう
2:49	マクリア参[開発部]	こんばんはー
2:49	飛鳥	ん？
2:49	レモン	ん？
2:49	デルタ・ブラボー	徹夜で麻雀するからやぞ
2:50	蒼。[あおっち]	風邪の時は温かい飲み物がおすすめ
2:50	ニシン科のいわし:	麻雀のしすぎ？
2:50	ぐぅたら	うん
2:50	西都なつ	うん？
2:50	チィヤ	エアコンつけて寝たの
2:51	ミキSS	お大事に	￥200
2:51	あむねこ	ん？
2:52	グリーンピース	ちゃす
2:52	水面こはね	寝不足？
2:52	ことかげ	ん？
2:52	グレート森	こんばんはー
2:52	わんたん	おん？
2:52	ちゃんちゃんしおしお	この時期は体調がね
2:53	十三姫	どうしたの？？
2:53	りんご田べる	葛根湯とか生姜湯とかどうぞ
2:53	ゆういち	鳴きか
2:53	sakura mituki	？
2:54	四季綾ノ乃	ん？
2:55	おかしろ	うんうん
2:55	パイライトテディ	ん？
2:56	nanoeko[ホロライブ応援団員]	麻雀耐久が原因？
2:56	灰冬かほ	ちゃんと休んでね？	￥200
2:57	M・A・Oマオ	11万人と銀盾おめでとう	￥500
2:57	* kaz*	お大事に！	￥610
2:57	紫ユウキ	お大事に	￥500
2:57	豆腐DMT	うん？
